iso3,country,region,year,gdp_usd,gdp_growth_pct,gdp_per_capita,inflation_pct,unemployment_pct,interest_rate_pct,exports_usd,imports_usd,trade_balance_usd,current_account_pct_gdp,govt_debt_pct_gdp,population,oil_dependency_score
USA,United States,North America,2010,18588913514517.84,2.7986856612044932,61423.72616866961,7.4170414192972896,3.5040414198696723,4.333156373103783,2018230532930.1287,2362974824388.24,-344744291458.1116,-1.8545693441893103,109.64876993791499,302634090.6683627,0.06742508365045984
USA,United States,North America,2011,19516950129555.105,2.411616516880055,63978.42905666928,9.806309170883916,2.9478184554562343,5.421744083656797,2191964371333.9766,2549183709899.087,-357219338565.11035,-1.8303030760126928,110.64292975136878,305055163.3937096,0.20742692948967134
USA,United States,North America,2012,22906581624992.66,1.110032866994787,74494.01316573893,8.162627482455417,2.9270795097835705,4.191424638805604,2628169795740.0034,3011418612806.304,-383248817066.3008,-1.6730947608880669,111.63796388671818,307495604.70085925,0.18682099526511078
USA,United States,North America,2013,21519516145930.973,1.9482100156302997,69427.74468603428,8.058632280147565,4.587512513174352,4.5774615370423115,2436658009579.898,2809313766703.3833,-372655757123.48535,-1.7317106694982505,114.68332874783403,309955569.53846616,0.10115723710618746
USA,United States,North America,2014,22063535866106.816,2.059744524032478,70617.95492557406,7.624983750124033,2.9901850152804297,4.04613478559647,2467686288713.1343,2842093157809.2725,-374406869096.1382,-1.696948627673446,115.9797541628931,312435214.0947738,0.06031655633456552
USA,United States,North America,2015,22583561340279.176,1.9082198184672174,71708.71180887864,6.733609347953674,2.681207470268596,4.636985470913363,2560312949935.3784,2939864088993.1196,-379551139057.7412,-1.6806522821570586,121.66746956232866,314934695.8075321,0.1054563366576581
USA,United States,North America,2016,22317358235043.156,2.195386631998164,70301.03903769162,7.602820968713982,3.2128678640061556,4.201770477031035,2566622187345.766,2946452212088.473,-379830024742.70703,-1.701948863043702,116.78221701444886,317454173.3739923,0.29862125274557877
USA,United States,North America,2017,23171074457790.04,1.9613287610554615,72411.00911399016,7.771645240371737,2.7405245335008974,5.10686137401972,2670581027598.7363,3055824797982.216,-385243770383.4795,-1.662606415102869,121.37318419206956,319993806.76098424,0.26870215041229617
USA,United States,North America,2018,23727977419828.957,2.0643129907109445,73562.86165970046,8.31447257448927,3.4559847670951407,4.895854056361654,2720274097088.5405,3107944470253.769,-387670373165.2285,-1.6338112865922603,121.28123864323206,322553757.2150721,0.14329469651469867
USA,United States,North America,2019,23838784307091.445,2.3718865378802807,73319.832980499,7.661075236326592,3.661614728933172,4.558743269281862,2757755099607.6978,3147180103392.6753,-389425003784.97754,-1.6335774457640162,121.94325518522677,325134187.2727927,0.2639734361668985
USA,United States,North America,2020,27108004760874.39,-2.255441757796634,82713.11636442365,7.922821939879581,3.920403244114519,5.164644416115361,3169230814132.2666,3575199767069.0947,-405968952936.8281,-1.4975980582782413,121.07038234386539,327735260.77097505,0.05762573802322856
USA,United States,North America,2021,24282812585594.367,5.032499816563439,73504.72998882619,11.125494970403652,3.296891272828405,5.927770046835023,2829147772260.8003,3221657122350.1675,-392509350089.3672,-1.616408102256742,125.69837531948974,330357142.85714287,0.2766653415629146
USA,United States,North America,2022,25583831532963.22,0.976602558842725,76828.32292181147,13.198945773849278,3.9112106750246287,8.176001180866244,3000000000000.0,3400000000000.0,-400000000000.0,-1.563487468578052,127.20535969434944,333000000.0,0.3177676995469933
USA,United States,North America,2023,26274608490983.33,2.3487448534199107,78276.51607257056,6.1053319763728995,3.0930439987647245,3.479286323757359,3084554814723.1167,3487843057517.905,-403288242794.7881,-1.5348972485477177,129.11505472596116,335664000.0,0.1781323365878769
CHN,China,East Asia,2010,11657033165135.45,3.6184481108258306,9084.05428153749,1.6566331633079336,4.959789511697355,0.7836572366020806,2161651798500.2783,1690251482817.7131,471400315682.5652,4.04391330971295,56.87694388692438,1283241249.3205047,0.08595961020010484
CHN,China,East Asia,2011,12165336426015.016,3.381174530613404,9404.923776655603,3.100363454989361,5.100293235455367,2.5621974423232636,2324338596982.9707,1806794607551.3145,517543989431.65625,4.25425135243208,59.08541478729911,1293507179.315069,0.3415346248162882
CHN,China,East Asia,2012,15145887528359.523,1.9324915138803835,11616.233997047902,2.48409167473047,5.240241377888456,1.641228676005088,2862464196338.3647,2187819916259.9546,674644280078.4102,4.4543066810392595,61.71145855282832,1303855236.7495894,0.09346846162736692
CHN,China,East Asia,2013,13284732282380.797,3.2359283856746575,10107.945673510712,1.6955719100332562,5.398259161502003,1.4039135739645783,2555040934194.0537,1970849487242.3457,584191446951.708,4.397464958526159,62.336995841064585,1314286078.6435862,0.2684649045835579
CHN,China,East Asia,2014,13614015338838.219,3.76111772437444,10276.276845291304,0.9588893623246315,5.229260888243969,0.2921847525933929,2528882450876.9688,1952160896338.9072,576721554538.0615,4.236234058682038,63.51419551230397,1324800367.2727346,0.062232542466429175
CHN,China,East Asia,2015,13939709322871.361,3.582641981471385,10438.611771875216,1.0241536493812275,4.967175875649361,0.1,2681245144806.163,2059957558796.8242,621287586009.3389,4.456962276752578,67.47363009894366,1335398770.2109168,0.10230992870149744
CHN,China,East Asia,2016,15446578820641.807,2.4322303063064785,11475.21419599598,2.429960643010524,4.743538807885909,0.8425442275893366,3029265564361.9683,2304432491113.8003,724833073248.168,4.6925152919917,69.2202758260545,1346081960.3726041,0.29516666006036474
CHN,China,East Asia,2017,14720699170729.846,3.945554609766842,10849.16717915747,3.823497629761599,4.7459213296205265,2.8894622059137793,2856605381989.426,2183269317594.6846,673336064394.7412,4.574076656179351,67.3399378284743,1356850616.055585,0.15476287238379827
CHN,China,East Asia,2018,15647549475257.408,3.508776626246759,11440.730756188266,2.678190803939912,5.098929931235925,1.7230413309444488,3052502649580.609,2320471685724.7397,732030963855.8691,4.678246680180744,69.97996291763226,1367705420.9840295,0.09848861422838413
